,Province,Electoral District Name,Elector Ratio,Percentage of Voter Turnout
0,Newfoundland and Labrador,Avalon,0.8132471616528314,59.3
1,Newfoundland and Labrador,Bonavista--Burin--Trinity,0.8117815316530843,54.5
2,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,0.8192456230690011,54.9
3,Newfoundland and Labrador,Labrador,0.7421406772805824,57.3
4,Newfoundland and Labrador,Long Range Mountains,0.816701905191039,55.2
5,Newfoundland and Labrador,St. John's East/St. John's-Est,0.78656195666126,67.6
6,Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,0.8251259468888373,61.0
7,Prince Edward Island,Cardigan,0.8157585688925304,75.0
8,Prince Edward Island,Charlottetown,0.7679669751205186,72.8
9,Prince Edward Island,Egmont,0.8357820182627019,71.6
10,Prince Edward Island,Malpeque,0.8486261448792672,76.3
11,Nova Scotia,Cape Breton--Canso,0.8440615744024029,71.7
12,Nova Scotia,Central Nova/Nova-Centre,0.847044273366499,73.6
13,Nova Scotia,Cumberland--Colchester,0.8309591760764363,68.5
14,Nova Scotia,Dartmouth--Cole Harbour,0.8384524544696157,69.7
15,Nova Scotia,Halifax,0.8122080118380721,73.0
16,Nova Scotia,Halifax West/Halifax-Ouest,0.8054750402576489,70.7
17,Nova Scotia,Kings--Hants,0.8426526088779728,68.8
18,Nova Scotia,Sackville--Preston--Chezzetcook,0.8296029966010775,69.5
19,Nova Scotia,South Shore--St. Margarets,0.8545137754546445,67.5
20,Nova Scotia,Sydney--Victoria,0.836086932416699,68.1
21,Nova Scotia,West Nova/Nova-Ouest,0.8551312998317606,67.4
22,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,0.8604722911390777,73.3
23,New Brunswick/Nouveau-Brunswick,Beauséjour,0.8550162834783454,77.0
24,New Brunswick/Nouveau-Brunswick,Fredericton,0.7995630409469047,74.6
25,New Brunswick/Nouveau-Brunswick,Fundy Royal,0.8198716585567216,74.8
26,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,0.841829805558316,69.1
27,New Brunswick/Nouveau-Brunswick,Miramichi--Grand Lake,0.8460935458583747,72.3
28,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,0.8094230893747437,69.6
29,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,0.8254170049167522,74.0
30,New Brunswick/Nouveau-Brunswick,Saint John--Rothesay,0.802351221602006,65.2
31,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,0.8050762308330786,69.8
32,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,0.7429915591146753,49.8
33,Quebec,Abitibi--Témiscamingue,0.7971611057966393,62.1
34,Quebec,Ahuntsic-Cartierville,0.7099713062062036,67.3
35,Quebec,Alfred-Pellan,0.782802126799049,69.7
36,Quebec,Argenteuil--La Petite-Nation,0.8397072488280557,63.2
37,Quebec,Avignon--La Mitis--Matane--Matapédia,0.8292140144929552,61.3
38,Quebec,Beauce,0.7965442407077042,69.9
39,Quebec,Beauport--Limoilou,0.8130877130866717,65.9
40,Quebec,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,0.818338066058885,67.3
41,Quebec,Bécancour--Nicolet--Saurel,0.838520742588912,67.3
42,Quebec,Bellechasse--Les Etchemins--Lévis,0.8224866482264321,69.3
